name_field,name_table,key_table,key_global
name_client,cost_util,Y,N
prm_line,cost_util,Y,N
elig_status_1,cost_util,Y,N
prv_net_aco_yn,cost_util,Y,N
prm_admits,cost_util,N,N
prm_days,cost_util,N,N
prm_util,cost_util,N,N
prm_costs,cost_util,N,N
prm_allowed,cost_util,N,N
prm_paid,cost_util,N,N
prm_coverage_type,cost_util,N,N
name_client,memmos,Y,N
elig_status_1,memmos,Y,N
prm_coverage_type,memmos,Y,N
prm_memmos,memmos,N,N
name_client,ref_prm_line,Y,N
prm_line,ref_prm_line,Y,N
prm_line_desc,ref_prm_line,N,N
prm_line_category,ref_prm_line,N,N
prm_util_type,ref_prm_line,N,N
prm_coverage_type,ref_prm_line,N,N
