name_field,label,data_type,data_size,allow_nulls,whitelist_nonnull_values,require_label_ifnotallnull,notes_develop,notes_client
name_client,,varchar,256,N,,N,,Client Name
prm_line,,varchar,4,N,,N,"Service category code. For example, I11 for Inpatient Medical, O13a for Outpatient Radiology - General. This is a service line level category; Refer to the [MR_Line] tab in the Code Sets workbook for a complete list.","Service category code. For example, I11 for Inpatient Medical, O13a for Outpatient Radiology - General. This is a service line level category."
elig_status_1,,varchar,64,N,,Y,,Most predominant eligibility status. Likely equates to Medicare Status.
prv_net_aco_yn,,varchar,1,N,Y~N,N,Indicator of whether the provider is apart of the ACOs assignment network or not.,
prm_line_desc,,varchar,128,N,,N,,Detailed Service Category Description
prm_line_category,,varchar,16,N,,N,,Aggregate Service Category Description
prm_util_type,,varchar,16,Y,,N,Utilization Type,Utilization Type
prm_admits,,integer,,Y,,N,Indicator of Admission. Should summarize to count of admissions. Only populated for Inpatient claims.,Indicates an admission for an inpatient claim.
prm_days,,integer,,Y,,N,Count of days for an inpatient claim.,Count of days for the claim line for inpatient claims.
prm_util,,integer,,Y,,N,Utilization,Utilization Count
prm_memmos,,float,,Y,,N,,Number of Member Months
prm_costs,,float,,Y,,N,Costs,"Costs chosen for the client.  This could be allowed, billed, or paid amount."
prm_allowed,,float,,Y,,N,,Allowed costs
