name_field,name_table,key_table,key_global
SequenceNumber,outclaims,Y,N
ClaimID,outclaims,N,N
LineNum,outclaims,N,N
ContractID,outclaims,N,N
Member_ID,outclaims,N,N
prm_fromdate,outclaims,N,N
prm_todate,outclaims,N,N
PaidDate,outclaims,N,N
DRG,outclaims,N,N
DRGVersion,outclaims,N,N
RevCode,outclaims,N,N
HCPCS,outclaims,N,N
Modifier,outclaims,N,N
Modifier2,outclaims,N,N
srcPOS,outclaims,N,N
POS,outclaims,N,N
srcSpecialty,outclaims,N,N
Specialty,outclaims,N,N
EncounterFlag,outclaims,N,N
ProviderID,outclaims,N,N
ProviderZIP,outclaims,N,N
ProviderCounty,outclaims,N,N
MedicareID,outclaims,N,N
BillType,outclaims,N,N
AdmitSource,outclaims,N,N
AdmitType,outclaims,N,N
Billed,outclaims,N,N
Allowed,outclaims,N,N
Paid,outclaims,N,N
COB,outclaims,N,N
Copay,outclaims,N,N
Coinsurance,outclaims,N,N
Deductible,outclaims,N,N
PatientPay,outclaims,N,N
Days,outclaims,N,N
Units,outclaims,N,N
DischargeStatus,outclaims,N,N
ICDVersion,outclaims,N,N
AdmitDiag,outclaims,N,N
ICDDiag1,outclaims,N,N
ICDDiag2,outclaims,N,N
ICDDiag3,outclaims,N,N
ICDDiag4,outclaims,N,N
ICDDiag5,outclaims,N,N
ICDDiag6,outclaims,N,N
ICDDiag7,outclaims,N,N
ICDDiag8,outclaims,N,N
ICDDiag9,outclaims,N,N
ICDDiag10,outclaims,N,N
ICDDiag11,outclaims,N,N
ICDDiag12,outclaims,N,N
ICDDiag13,outclaims,N,N
ICDDiag14,outclaims,N,N
ICDDiag15,outclaims,N,N
POA1,outclaims,N,N
POA2,outclaims,N,N
POA3,outclaims,N,N
POA4,outclaims,N,N
POA5,outclaims,N,N
POA6,outclaims,N,N
POA7,outclaims,N,N
POA8,outclaims,N,N
POA9,outclaims,N,N
POA10,outclaims,N,N
POA11,outclaims,N,N
POA12,outclaims,N,N
POA13,outclaims,N,N
POA14,outclaims,N,N
POA15,outclaims,N,N
ICDProc1,outclaims,N,N
ICDProc2,outclaims,N,N
ICDProc3,outclaims,N,N
ICDProc4,outclaims,N,N
ICDProc5,outclaims,N,N
ICDProc6,outclaims,N,N
ICDProc7,outclaims,N,N
ICDProc8,outclaims,N,N
ICDProc9,outclaims,N,N
ICDProc10,outclaims,N,N
ICDProc11,outclaims,N,N
ICDProc12,outclaims,N,N
ICDProc13,outclaims,N,N
ICDProc14,outclaims,N,N
ICDProc15,outclaims,N,N
RiskPool,outclaims,N,N
OON,outclaims,N,N
srcLOB,outclaims,N,N
LOB,outclaims,N,N
srcProduct,outclaims,N,N
Product,outclaims,N,N
GroupID,outclaims,N,N
Zip,outclaims,N,N
County,outclaims,N,N
MemberStatus,outclaims,N,N
CaseAdmitID,outclaims,N,N
FacilityCaseID,outclaims,N,N
prm_line,outclaims,N,N
prm_util_type,outclaims,N,N
prm_util,outclaims,N,N
prm_costs,outclaims,N,N
prm_admits,outclaims,N,N
prm_days,outclaims,N,N
Member_ID,memmos_elig,Y,N
elig_month,memmos_elig,N,N
Elig_Status_1,memmos_elig,N,N
age,memmos_elig,N,N
gender,memmos_elig,N,N
mem_name,memmos_elig,N,N
mem_address_line_1,memmos_elig,N,N
mem_address_line_2,memmos_elig,N,N
mem_city_state,memmos_elig,N,N
mem_state,memmos_elig,N,N
mem_zip5,memmos_elig,N,N
dob,memmos_elig,N,N
SequenceNumber,outpharmacy,Y,N
ClaimID,outpharmacy,N,N
ContractID,outpharmacy,N,N
Member_ID,outpharmacy,N,N
prm_fromdate,outpharmacy,N,N
PaidDate,outpharmacy,N,N
NDC,outpharmacy,N,N
EncounterFlag,outpharmacy,N,N
MedicalCovered,outpharmacy,N,N
ProviderID,outpharmacy,N,N
ProviderZIP,outpharmacy,N,N
ProviderCounty,outpharmacy,N,N
MailOrder,outpharmacy,N,N
IngredientCost,outpharmacy,N,N
DispensingFee,outpharmacy,N,N
Billed,outpharmacy,N,N
Allowed,outpharmacy,N,N
Paid,outpharmacy,N,N
COB,outpharmacy,N,N
Copay,outpharmacy,N,N
Coinsurance,outpharmacy,N,N
Deductible,outpharmacy,N,N
PatientPay,outpharmacy,N,N
Units,outpharmacy,N,N
DaysSupply,outpharmacy,N,N
QuantityDispensed,outpharmacy,N,N
RiskPool,outpharmacy,N,N
OON,outpharmacy,N,N
srcLOB,outpharmacy,N,N
LOB,outpharmacy,N,N
srcProduct,outpharmacy,N,N
Product,outpharmacy,N,N
GroupID,outpharmacy,N,N
Zip,outpharmacy,N,N
County,outpharmacy,N,N
MemberStatus,outpharmacy,N,N
UserDefPop1,outpharmacy,N,N
UserDefPop2,outpharmacy,N,N
UserDefPop3,outpharmacy,N,N
UserDefNum1,outpharmacy,N,N
UserDefNum2,outpharmacy,N,N
UserDefNum3,outpharmacy,N,N
CaseAdmitID,outpharmacy,N,N
prm_line,outpharmacy,N,N
prv_net_hier_1,outpharmacy,N,N
prm_util_type,outpharmacy,N,N
prm_util,outpharmacy,N,N
prm_costs,outpharmacy,N,N
prm_line,ref_prm_line,Y,N
prm_line_desc,ref_prm_line,N,N
prm_line_category,ref_prm_line,N,N
